source	line	kind	raw_target	resolved	status	note
canon/entities/factions/guild_of_compositories.md	1	fm:links	canon/systems/tech/writing_and_printing_c700_1200.md	canon/systems/tech/writing_and_printing_c700_1200.md	OK	
canon/entities/factions/guild_of_compositories.md	1	fm:links	canon/entities/factions/censors_bench.md	canon/entities/factions/censors_bench.md	OK	
canon/entities/factions/guild_of_compositories.md	1	fm:links	canon/systems/governance/symbols_of_office_c700_1200.md	canon/systems/governance/symbols_of_office_c700_1200.md	OK	
canon/entities/factions/harbor_watches.md	1	fm:links	canon/systems/infrastructure/public_works_c700_1200.md	canon/systems/infrastructure/public_works_c700_1200.md	OK	
canon/entities/factions/harbor_watches.md	1	fm:links	canon/systems/security/piracy_and_navies_c1800.md	canon/systems/security/piracy_and_navies_c1800.md	OK	
canon/entities/factions/harbor_watches.md	1	fm:links	canon/systems/governance/law_admin.md	canon/systems/governance/law_admin.md	OK	
canon/entities/factions/keeper_of_oboe_seal.md	1	fm:links	canon/systems/governance/empty_seat.md	canon/systems/governance/empty_seat.md	ERR-MISSING-FILE	
canon/entities/factions/keeper_of_oboe_seal.md	1	fm:links	canon/systems/governance/symbols_of_office_c700_1200.md	canon/systems/governance/symbols_of_office_c700_1200.md	OK	
canon/entities/factions/keeper_of_oboe_seal.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/factions/keeper_of_oboe_seal.md	1	fm:links	canon/entities/factions/beats/house_sixth_beat.md	canon/entities/factions/beats/house_sixth_beat.md	OK	
canon/entities/factions/office_imperial_works.md	1	fm:links	canon/systems/infrastructure/public_works_c700_1200.md	canon/systems/infrastructure/public_works_c700_1200.md	OK	
canon/entities/factions/office_imperial_works.md	1	fm:links	canon/systems/governance/empty_seat.md	canon/systems/governance/empty_seat.md	ERR-MISSING-FILE	
canon/entities/factions/public_debt_office.md	1	fm:links	canon/entities/factions/grain_chancery.md	canon/entities/factions/grain_chancery.md	OK	
canon/entities/factions/public_debt_office.md	1	fm:links	canon/entities/factions/dredge_and_bar_works.md	canon/entities/factions/dredge_and_bar_works.md	OK	
canon/entities/factions/public_debt_office.md	1	fm:links	canon/entities/factions/convoy_insurance_office.md	canon/entities/factions/convoy_insurance_office.md	OK	
canon/entities/people/camra_dona.md	1	fm:links	canon/eras/07_mangrove_garrot_1200_1290.md	canon/eras/07_mangrove_garrot_1200_1290.md	OK	
canon/entities/people/camra_dona.md	1	fm:links	canon/eras/08_knotted_lanterns_1290_1400.md	canon/eras/08_knotted_lanterns_1290_1400.md	OK	
canon/entities/people/camra_dona.md	1	fm:links	canon/entities/law/treaties/charter_great_principality_1304.md	canon/entities/law/treaties/charter_great_principality_1304.md	ERR-MISSING-FILE	
canon/entities/people/camra_dona.md	1	fm:links	canon/systems/commerce/morum_factors_row_c1296.md	canon/systems/commerce/morum_factors_row_c1296.md	OK	
canon/entities/people/camra_dona.md	1	fm:links	canon/systems/commerce/mangrove_gardens_c1290_1400.md	canon/systems/commerce/mangrove_gardens_c1290_1400.md	OK	
canon/entities/people/camra_dona.md	1	fm:links	canon/systems/security/mangrove_piracy_compacts_c1200_1290.md	canon/systems/security/mangrove_piracy_compacts_c1200_1290.md	OK	
canon/entities/people/camra_dona.md	1	fm:links	canon/systems/transport/access_days_board_c1294.md	canon/systems/transport/access_days_board_c1294.md	ERR-MISSING-FILE	
canon/entities/people/chenara_the_binder.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/erel_zambrani_keeper.md	1	fm:links	canon/eras/05_golden_cadence_apex_860_1050.md	canon/eras/05_golden_cadence_apex_860_1050.md	OK	
canon/entities/people/erel_zambrani_keeper.md	1	fm:links	canon/entities/factions/keeper_of_oboe_seal.md	canon/entities/factions/keeper_of_oboe_seal.md	OK	
canon/entities/people/erel_zambrani_keeper.md	1	fm:links	canon/entities/factions/beats/house_sixth_beat.md	canon/entities/factions/beats/house_sixth_beat.md	OK	
canon/entities/people/erel_zambrani_keeper.md	1	fm:links	canon/entities/factions/censors_bench.md	canon/entities/factions/censors_bench.md	OK	
canon/entities/people/erel_zambrani_keeper.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/people/eshoron_ir.md	1	fm:links	canon/eras/02_zambranic_700_800.md	canon/eras/02_zambranic_700_800.md	OK	
canon/entities/people/eshoron_ir.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
canon/entities/people/iarin_zambrani.md	1	fm:links	canon/notes/rolls/high_masters_golden_cadence.md	canon/notes/rolls/high_masters_golden_cadence.md	ERR-MISSING-FILE	
canon/entities/people/iarin_zambrani.md	1	fm:links	canon/entities/factions/council_of_captains.md	canon/entities/factions/council_of_captains.md	OK	
canon/entities/people/iarin_zambrani.md	1	fm:links	canon/entities/factions/keeper_of_oboe_seal.md	canon/entities/factions/keeper_of_oboe_seal.md	OK	
canon/entities/people/iarin_zambrani.md	1	fm:links	canon/entities/factions/harbor_watches.md	canon/entities/factions/harbor_watches.md	OK	
canon/entities/people/iarin_zambrani.md	1	fm:links	canon/systems/metrology/calendar_base6.md	canon/systems/metrology/calendar_base6.md	OK	
canon/entities/people/iarin_zambrani.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/people/ikkar_mend.md	1	fm:links	canon/entities/factions/office_imperial_works.md	canon/entities/factions/office_imperial_works.md	OK	
canon/entities/people/ikkar_mend.md	1	fm:links	canon/systems/infrastructure/public_works_c700_1200.md	canon/systems/infrastructure/public_works_c700_1200.md	OK	
canon/entities/people/kelim_ar_chancellor.md	1	fm:links	canon/notes/rolls/high_masters_golden_cadence.md	canon/notes/rolls/high_masters_golden_cadence.md	ERR-MISSING-FILE	
canon/entities/people/kelim_ar_chancellor.md	1	fm:links	canon/entities/factions/public_debt_office.md	canon/entities/factions/public_debt_office.md	OK	
canon/entities/people/kelim_ar_chancellor.md	1	fm:links	canon/entities/factions/dredge_and_bar_works.md	canon/entities/factions/dredge_and_bar_works.md	OK	
canon/entities/people/kelim_ar_of_sar_north.md	1	fm:links	canon/entities/regions/sar_north.md	canon/entities/regions/sar_north.md	OK	
canon/entities/people/kelim_ar_of_sar_north.md	1	fm:links	canon/systems/religions/good_old_rhythm.md	canon/systems/religions/good_old_rhythm.md	OK	
